Date,MAX of Total Cases,MAX of Total Deaths,MAX of Active Cases
2/22/2020,79,2,75
2/23/2020,157,3,152
2/24/2020,229,7,221
2/25/2020,323,11,310
2/26/2020,470,12,455
2/27/2020,655,17,593
2/28/2020,889,21,822
2/29/2020,1128,29,1049
3/1/2020,1701,41,1577
3/2/2020,2036,52,1835
3/3/2020,2502,79,2263
3/4/2020,3089,107,2706
3/5/2020,3858,148,3296
3/6/2020,4636,197,3916
3/7/2020,5883,233,5061
3/8/2020,7375,366,6387
3/9/2020,9172,463,7985
3/10/2020,10149,631,8514
3/11/2020,12462,827,10590
3/12/2020,15113,1016,12839
3/13/2020,17660,1266,14955
3/14/2020,21157,1441,17750
3/15/2020,24747,1809,20603
3/16/2020,27980,2158,23073
3/17/2020,31506,2503,26062
3/18/2020,35713,2978,28710
3/19/2020,41035,3405,33190
3/20/2020,47021,4032,37860
3/21/2020,53578,4825,42681
3/22/2020,59138,5476,46638
3/23/2020,63927,6077,50418
3/24/2020,69176,6820,54030
3/25/2020,74386,7503,57521
3/26/2020,80589,8215,62013
3/27/2020,86498,9134,66414
3/28/2020,92472,10023,70065
3/29/2020,97689,10779,73880
3/30/2020,101739,11591,75528
3/31/2020,105792,12428,77635
4/1/2020,110574,13155,80572
4/2/2020,115242,13915,83049
4/3/2020,119827,14681,85388
4/4/2020,124623,15362,88274
4/5/2020,128948,15887,91246
4/6/2020,132547,16523,93187
4/7/2020,135586,17127,94067
4/8/2020,139422,17669,95262
4/9/2020,143626,18279,96877
4/10/2020,147577,18849,98273
4/11/2020,152271,19468,100269
4/12/2020,156363,19899,102253
4/13/2020,159516,20465,103616
4/14/2020,162488,21067,104291
